T1,T2,T3,T4,T5,T6,final_stability,final_resources,final_workload,final_confidence,floor_hit,tags
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Await Additional Data,Commit Remaining Resources,95,0,30,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Await Additional Data,Controlled Response,85,10,30,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Await Additional Data,Protect Reserves,75,20,30,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),85,10,30,100,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),95,0,30,100,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,100,0,35,75,T6:resources,Preventative Management | Deferred Escalation | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,95,5,35,70,,Preventative Management | Deferred Escalation | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,85,15,35,70,,Preventative Management | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),95,5,35,70,,Preventative Management | AI Dependence | Deferred Escalation | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,35,75,T6:resources,Preventative Management | AI Dependence | Deferred Escalation | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,85,20,35,75,,Preventative Management | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Controlled Response,75,30,35,70,,Preventative Management | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Protect Reserves,65,40,35,70,,Preventative Management | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),75,30,35,70,,Preventative Management | AI Dependence | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),85,20,35,75,,Preventative Management | AI Dependence | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,100,10,35,75,,Preventative Management | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Controlled Response,95,20,35,70,,Preventative Management | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,85,30,35,70,,Preventative Management | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),95,20,35,70,,Preventative Management | AI Dependence | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,35,75,,Preventative Management | AI Dependence | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Await Additional Data,Commit Remaining Resources,95,20,30,75,,Preventative Management | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Await Additional Data,Controlled Response,85,30,30,70,,Preventative Management | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Await Additional Data,Protect Reserves,75,40,30,70,,Preventative Management | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),85,30,30,70,,Preventative Management | AI Dependence | Deferred Escalation | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),95,20,30,75,,Preventative Management | AI Dependence | Deferred Escalation
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,0,50,90,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,95,5,50,85,,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,85,15,50,85,,Preventative Management
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),95,5,50,85,,Preventative Management | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,50,90,T6:resources,Preventative Management | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,85,20,50,90,,Preventative Management
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,75,30,50,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,65,40,50,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),75,30,50,85,,Preventative Management | AI Dependence | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),85,20,50,90,,Preventative Management | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,100,10,50,90,,Preventative Management
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,95,20,50,85,,Preventative Management
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,85,30,50,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),95,20,50,85,,Preventative Management | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,50,90,,Preventative Management | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,95,20,45,90,,Preventative Management
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Controlled Response,85,30,45,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Protect Reserves,75,40,45,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),85,30,45,85,,Preventative Management | AI Dependence | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),95,20,45,90,,Preventative Management | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,100,0,35,95,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Controlled Response,95,5,35,90,,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Protect Reserves,85,15,35,90,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),95,5,35,90,,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,35,95,T6:resources,Preventative Management | Public Confidence First | AI Dependence | System Collapse
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,85,20,35,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Accept Elevated Risk,Controlled Response,75,30,35,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Accept Elevated Risk,Protect Reserves,65,40,35,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),75,30,35,90,,Preventative Management | Public Confidence First | AI Dependence | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),85,20,35,95,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,100,10,35,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Controlled Response,95,20,35,90,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Protect Reserves,85,30,35,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),95,20,35,90,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,35,95,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Await Additional Data,Commit Remaining Resources,95,20,30,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Await Additional Data,Controlled Response,85,30,30,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Await Additional Data,Protect Reserves,75,40,30,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Await Additional Data,Follow AI Rec (Calm),85,30,30,90,,Preventative Management | Public Confidence First | AI Dependence | Controlled Recovery
Emergency Rerouting,Restore Communications,Wait For Analysis,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),95,20,30,95,,Preventative Management | Public Confidence First | AI Dependence
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,95,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,95,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Accept Elevated Risk,Controlled Response,85,10,50,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Accept Elevated Risk,Protect Reserves,75,20,50,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),85,10,50,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),95,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Prioritise Critical Assets,Controlled Response,100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,95,10,50,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),100,0,50,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Await Additional Data,Commit Remaining Resources,100,0,45,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Await Additional Data,Controlled Response,95,10,45,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Await Additional Data,Protect Reserves,85,20,45,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),95,10,45,100,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),100,0,45,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,100,0,50,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,100,5,50,70,,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,95,15,50,70,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),100,5,50,70,,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,50,75,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,95,20,50,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Accept Elevated Risk,Controlled Response,85,30,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Accept Elevated Risk,Protect Reserves,75,40,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),85,30,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),95,20,50,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,100,10,50,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Prioritise Critical Assets,Controlled Response,100,20,50,70,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,95,30,50,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),100,20,50,70,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,50,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Await Additional Data,Commit Remaining Resources,100,20,45,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Await Additional Data,Controlled Response,95,30,45,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Await Additional Data,Protect Reserves,85,40,45,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),95,30,45,70,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),100,20,45,75,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,0,65,90,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,100,5,65,85,,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,95,15,65,85,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),100,5,65,85,,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,65,90,T6:resources,Preventative Management | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,95,20,65,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,85,30,65,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,75,40,65,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),85,30,65,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),95,20,65,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,100,10,65,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,100,20,65,85,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,95,30,65,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),100,20,65,85,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,65,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,100,20,60,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Await Additional Data,Controlled Response,95,30,60,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Await Additional Data,Protect Reserves,85,40,60,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),95,30,60,85,,Preventative Management | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),100,20,60,90,,Preventative Management
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,100,0,50,95,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Immediate Maintenance Programme,Controlled Response,100,5,50,90,,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Immediate Maintenance Programme,Protect Reserves,95,15,50,90,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),100,5,50,90,,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,50,95,T6:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,95,20,50,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Accept Elevated Risk,Controlled Response,85,30,50,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Accept Elevated Risk,Protect Reserves,75,40,50,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),85,30,50,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),95,20,50,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,100,10,50,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Prioritise Critical Assets,Controlled Response,100,20,50,90,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Prioritise Critical Assets,Protect Reserves,95,30,50,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),100,20,50,90,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),100,10,50,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Await Additional Data,Commit Remaining Resources,100,20,45,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Await Additional Data,Controlled Response,95,30,45,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Await Additional Data,Protect Reserves,85,40,45,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Await Additional Data,Follow AI Rec (Calm),95,30,45,90,,Preventative Management | Public Confidence First | Controlled Recovery
Emergency Rerouting,Restore Communications,Act Independently,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),100,20,45,95,,Preventative Management | Public Confidence First
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,0,40,100,T5:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,100,0,40,100,T5:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,95,0,40,100,T5:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),100,0,40,100,T5:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,0,40,100,T5:resources,Preventative Management | Public Confidence First | System Collapse
Emergency Rerouting,Restore Communications,Escalate Infrastructure Support,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,95,0,40,100,T6:resources,Preventative Management | Public Confidence First | System Collapse
